tweet_id,tweet_url,author,text,likes,retweets,hashtags
1.95303E+18,https://x.com/reddy73375/status/1953033683549732878,@reddy73375,"Swiggy 

Reserves 9000cr 
Debt 1700cr 
Mcap 98000cr 

Zomato

Reserves 29400cr 
Debt 2000cr 
Mcap 288000cr

Will Swiggy double in the next 2 years?",2,0,
1.95275E+18,https://x.com/cute_sam_000/status/1952751143504753121,@cute_sam_000,"आज खाना बाहर से ऑर्डर की हूं इसलिए फुर्सत ही फुर्सत हैं, वैसे हर दूसरे या तीसरे दिन zomato जिंदाबाद का नारा लगा देती हूं!
Lazy sammy ",3,2,
1.95489E+18,https://x.com/LahotiVedang/status/1954889747547234739,@LahotiVedang,is there any good pani puri place that delivers on swiggy/zomato?,3,0,
1.95492E+18,https://x.com/ittzz_rahul/status/1954920409570455973,@ittzz_rahul,5 minute baarish hoti aur Zomato delievery band kar deta hai. I need to learn how to cook asap,27,0,
1.95352E+18,https://x.com/VIJAYJNR/status/1953524721896534347,@VIJAYJNR,"Jitne bhi gyan chod rahe hai bike wale ki galti , driving nahi aati , Car Curve par slow karke le jaani chahiye jitni speed se wo jaa raha tha accident hona tha ,Zomato wala apni lene mi tha ",119,1,
1.95348E+18,https://x.com/sureshsaran__/status/1953476896227811780,@sureshsaran__,"Zomato और swiggy के 
सफ़लता के पीछे किसी एक 

औरत का हाथ नहीं है लाखों 
आलसी औरतों का हाथ है 
",2,1,
1.95343E+18,https://x.com/aniketkrishna/status/1953425701480054947,@aniketkrishna,"they should just go the hawkins way now.. these calls add zero value..
or may be go the zomato way.. write a letter to analysts a few hours before the scheduled.. 
even better, just submit the model spreadsheet of what they are willing to project.. ",2,0,
1.95279E+18,https://x.com/pointperkspicks/status/1952788838809538998,@pointperkspicks,"Now get 3 month Swiggy One from Re.1 

Today is a good day, both Zomato Gold and Swiggy One at Re.1 ",55,4,
1.95423E+18,https://x.com/Baagi_10seclate/status/1954225972871573926,@Baagi_10seclate,"Stop ordering food guys on Zomato Swiggy whatever in Hyderabad, the roads are flooded, I’ve just seen a Swiggy delivery guy fall from his bike because of the flooded water",44,4,
1.9555E+18,https://x.com/MehulFanawala/status/1955504283706855480,@MehulFanawala,"It's still showing ""Zomato"" with message ""This ticker is no longer active"" and not ""ETERNAL"".

Watchlist isn't showing what I selected, instead showing what's default.",3,0,
